# Assembly name:  Release 6 plus ISO1 MT
# Description:    Release 6 plus ISO1 mitochondrial genome
# Organism name:  Drosophila melanogaster (fruit fly)
# Taxid:          7227
# BioSample:      SAMN02803731
# BioProject:     PRJNA13812
# Submitter:      The FlyBase Consortium/Berkeley Drosophila Genome Project/Celera Genomics
# Date:           2014-08-01
# Synonyms:       dm6	
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_000001215.4
# RefSeq assembly accession: GCF_000001215.4
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000001625.3	GCF_000001625.3	Primary Assembly
## GCA_000738905.1	GCF_000738905.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
211000022280270	unlocalized-scaffold	X	Chromosome	DS483666.1	=	NW_001844955.1	Primary Assembly	13108	chrX_DS483666v1_random
211000022279008	unlocalized-scaffold	X	Chromosome	DS483669.1	=	NW_001844958.1	Primary Assembly	12848	chrX_DS483669v1_random
211000022279676	unlocalized-scaffold	X	Chromosome	DS483685.1	=	NW_001844974.1	Primary Assembly	12187	chrX_DS483685v1_random
211000022279836	unlocalized-scaffold	X	Chromosome	DS483698.1	=	NW_001844987.1	Primary Assembly	11522	chrX_DS483698v1_random
211000022280526	unlocalized-scaffold	X	Chromosome	DS483745.1	=	NW_001845034.1	Primary Assembly	9368	chrX_DS483745v1_random
211000022279563	unlocalized-scaffold	X	Chromosome	DS483784.1	=	NW_001845073.1	Primary Assembly	5832	chrX_DS483784v1_random
211000022279955	unlocalized-scaffold	X	Chromosome	DS483789.1	=	NW_001845078.1	Primary Assembly	5555	chrX_DS483789v1_random
211000022280241	unlocalized-scaffold	X	Chromosome	DS483795.1	=	NW_001845084.1	Primary Assembly	5387	chrX_DS483795v1_random
211000022280466	unlocalized-scaffold	X	Chromosome	DS483803.1	=	NW_001845092.1	Primary Assembly	5232	chrX_DS483803v1_random
211000022279883	unlocalized-scaffold	X	Chromosome	DS483809.1	=	NW_001845098.1	Primary Assembly	5057	chrX_DS483809v1_random
211000022280649	unlocalized-scaffold	X	Chromosome	DS483818.1	=	NW_001845107.1	Primary Assembly	4917	chrX_DS483818v1_random
211000022280645	unlocalized-scaffold	X	Chromosome	DS483821.1	=	NW_001845110.1	Primary Assembly	4879	chrX_DS483821v1_random
211000022279705	unlocalized-scaffold	X	Chromosome	DS483843.1	=	NW_001845132.1	Primary Assembly	4515	chrX_DS483843v1_random
211000022280624	unlocalized-scaffold	X	Chromosome	DS483851.1	=	NW_001845140.1	Primary Assembly	4395	chrX_DS483851v1_random
211000022280479	unlocalized-scaffold	X	Chromosome	DS483885.1	=	NW_001845174.1	Primary Assembly	4085	chrX_DS483885v1_random
211000022280016	unlocalized-scaffold	X	Chromosome	DS483888.1	=	NW_001845177.1	Primary Assembly	4072	chrX_DS483888v1_random
211000022280529	unlocalized-scaffold	X	Chromosome	DS483892.1	=	NW_001845181.1	Primary Assembly	4013	chrX_DS483892v1_random
211000022280539	unlocalized-scaffold	X	Chromosome	DS483893.1	=	NW_001845182.1	Primary Assembly	4012	chrX_DS483893v1_random
211000022279731	unlocalized-scaffold	X	Chromosome	DS483897.1	=	NW_001845186.1	Primary Assembly	3984	chrX_DS483897v1_random
211000022280603	unlocalized-scaffold	X	Chromosome	DS483903.1	=	NW_001845192.1	Primary Assembly	3941	chrX_DS483903v1_random
211000022279673	unlocalized-scaffold	X	Chromosome	DS483905.1	=	NW_001845194.1	Primary Assembly	3926	chrX_DS483905v1_random
211000022280439	unlocalized-scaffold	X	Chromosome	DS483907.1	=	NW_001845196.1	Primary Assembly	3921	chrX_DS483907v1_random
211000022280593	unlocalized-scaffold	X	Chromosome	DS483909.1	=	NW_001845198.1	Primary Assembly	3913	chrX_DS483909v1_random
211000022280629	unlocalized-scaffold	X	Chromosome	DS483923.1	=	NW_001845212.1	Primary Assembly	3775	chrX_DS483923v1_random
211000022280625	unlocalized-scaffold	X	Chromosome	DS483926.1	=	NW_001845215.1	Primary Assembly	3745	chrX_DS483926v1_random
211000022280495	unlocalized-scaffold	X	Chromosome	DS483928.1	=	NW_001845217.1	Primary Assembly	3730	chrX_DS483928v1_random
211000022280620	unlocalized-scaffold	X	Chromosome	DS483946.1	=	NW_001845235.1	Primary Assembly	3603	chrX_DS483946v1_random
211000022280578	unlocalized-scaffold	X	Chromosome	DS483948.1	=	NW_001845237.1	Primary Assembly	3602	chrX_DS483948v1_random
211000022280470	unlocalized-scaffold	X	Chromosome	DS483950.1	=	NW_001845239.1	Primary Assembly	3582	chrX_DS483950v1_random
211000022279730	unlocalized-scaffold	X	Chromosome	DS483955.1	=	NW_001845244.1	Primary Assembly	3553	chrX_DS483955v1_random
211000022278896	unlocalized-scaffold	X	Chromosome	DS483963.1	=	NW_001845252.1	Primary Assembly	3523	chrX_DS483963v1_random
211000022280668	unlocalized-scaffold	X	Chromosome	DS483969.1	=	NW_001845258.1	Primary Assembly	3498	chrX_DS483969v1_random
211000022279499	unlocalized-scaffold	X	Chromosome	DS483971.1	=	NW_001845260.1	Primary Assembly	3478	chrX_DS483971v1_random
211000022280597	unlocalized-scaffold	X	Chromosome	DS483974.1	=	NW_001845263.1	Primary Assembly	3473	chrX_DS483974v1_random
211000022279188	unlocalized-scaffold	X	Chromosome	DS483995.1	=	NW_001845284.1	Primary Assembly	3347	chrX_DS483995v1_random
211000022279772	unlocalized-scaffold	X	Chromosome	DS484002.1	=	NW_001845291.1	Primary Assembly	3290	chrX_DS484002v1_random
211000022279497	unlocalized-scaffold	X	Chromosome	DS484005.1	=	NW_001845294.1	Primary Assembly	3275	chrX_DS484005v1_random
211000022278361	unlocalized-scaffold	X	Chromosome	DS484012.1	=	NW_001845301.1	Primary Assembly	3254	chrX_DS484012v1_random
211000022278544	unlocalized-scaffold	X	Chromosome	DS484023.1	=	NW_001845312.1	Primary Assembly	3206	chrX_DS484023v1_random
211000022280669	unlocalized-scaffold	X	Chromosome	DS484026.1	=	NW_001845315.1	Primary Assembly	3201	chrX_DS484026v1_random
211000022280587	unlocalized-scaffold	X	Chromosome	DS484046.1	=	NW_001845335.1	Primary Assembly	3123	chrX_DS484046v1_random
211000022280538	unlocalized-scaffold	X	Chromosome	DS484051.1	=	NW_001845340.1	Primary Assembly	3100	chrX_DS484051v1_random
211000022279109	unlocalized-scaffold	X	Chromosome	DS484057.1	=	NW_001845346.1	Primary Assembly	3076	chrX_DS484057v1_random
211000022280641	unlocalized-scaffold	X	Chromosome	DS484060.1	=	NW_001845349.1	Primary Assembly	3065	chrX_DS484060v1_random
211000022280532	unlocalized-scaffold	X	Chromosome	DS484061.1	=	NW_001845350.1	Primary Assembly	3059	chrX_DS484061v1_random
211000022279460	unlocalized-scaffold	X	Chromosome	DS484067.1	=	NW_001845356.1	Primary Assembly	3024	chrX_DS484067v1_random
211000022279081	unlocalized-scaffold	X	Chromosome	DS484072.1	=	NW_001845361.1	Primary Assembly	3002	chrX_DS484072v1_random
211000022278235	unlocalized-scaffold	X	Chromosome	DS484074.1	=	NW_001845363.1	Primary Assembly	2999	chrX_DS484074v1_random
211000022280542	unlocalized-scaffold	X	Chromosome	DS484075.1	=	NW_001845364.1	Primary Assembly	2996	chrX_DS484075v1_random
211000022280584	unlocalized-scaffold	X	Chromosome	DS484081.1	=	NW_001845370.1	Primary Assembly	2964	chrX_DS484081v1_random
211000022278208	unlocalized-scaffold	X	Chromosome	DS484084.1	=	NW_001845373.1	Primary Assembly	2956	chrX_DS484084v1_random
211000022279277	unlocalized-scaffold	X	Chromosome	DS484085.1	=	NW_001845374.1	Primary Assembly	2945	chrX_DS484085v1_random
211000022279608	unlocalized-scaffold	X	Chromosome	DS484088.1	=	NW_001845377.1	Primary Assembly	2937	chrX_DS484088v1_random
211000022280639	unlocalized-scaffold	X	Chromosome	DS484099.1	=	NW_001845388.1	Primary Assembly	2910	chrX_DS484099v1_random
211000022278724	unlocalized-scaffold	X	Chromosome	DS484101.1	=	NW_001845390.1	Primary Assembly	2904	chrX_DS484101v1_random
211000022278846	unlocalized-scaffold	X	Chromosome	DS484112.1	=	NW_001845401.1	Primary Assembly	2877	chrX_DS484112v1_random
211000022278868	unlocalized-scaffold	X	Chromosome	DS484114.1	=	NW_001845403.1	Primary Assembly	2871	chrX_DS484114v1_random
211000022279968	unlocalized-scaffold	X	Chromosome	DS484124.1	=	NW_001845413.1	Primary Assembly	2846	chrX_DS484124v1_random
211000022279698	unlocalized-scaffold	X	Chromosome	DS484125.1	=	NW_001845414.1	Primary Assembly	2844	chrX_DS484125v1_random
211000022278463	unlocalized-scaffold	X	Chromosome	DS484126.1	=	NW_001845415.1	Primary Assembly	2841	chrX_DS484126v1_random
211000022279552	unlocalized-scaffold	X	Chromosome	DS484130.1	=	NW_001845419.1	Primary Assembly	2834	chrX_DS484130v1_random
211000022279703	unlocalized-scaffold	X	Chromosome	DS484131.1	=	NW_001845420.1	Primary Assembly	2833	chrX_DS484131v1_random
211000022280642	unlocalized-scaffold	X	Chromosome	DS484132.1	=	NW_001845421.1	Primary Assembly	2830	chrX_DS484132v1_random
211000022280592	unlocalized-scaffold	X	Chromosome	DS484133.1	=	NW_001845422.1	Primary Assembly	2829	chrX_DS484133v1_random
211000022279408	unlocalized-scaffold	X	Chromosome	DS484135.1	=	NW_001845424.1	Primary Assembly	2825	chrX_DS484135v1_random
211000022278821	unlocalized-scaffold	X	Chromosome	DS484136.1	=	NW_001845425.1	Primary Assembly	2823	chrX_DS484136v1_random
211000022279082	unlocalized-scaffold	X	Chromosome	DS484137.1	=	NW_001845426.1	Primary Assembly	2822	chrX_DS484137v1_random
211000022280537	unlocalized-scaffold	X	Chromosome	DS484140.1	=	NW_001845429.1	Primary Assembly	2819	chrX_DS484140v1_random
211000022279502	unlocalized-scaffold	X	Chromosome	DS484143.1	=	NW_001845432.1	Primary Assembly	2814	chrX_DS484143v1_random
211000022278209	unlocalized-scaffold	X	Chromosome	DS484161.1	=	NW_001845450.1	Primary Assembly	2781	chrX_DS484161v1_random
211000022279298	unlocalized-scaffold	X	Chromosome	DS484162.1	=	NW_001845451.1	Primary Assembly	2765	chrX_DS484162v1_random
211000022279287	unlocalized-scaffold	X	Chromosome	DS484165.1	=	NW_001845454.1	Primary Assembly	2751	chrX_DS484165v1_random
211000022280632	unlocalized-scaffold	X	Chromosome	DS484166.1	=	NW_001845455.1	Primary Assembly	2750	chrX_DS484166v1_random
211000022278921	unlocalized-scaffold	X	Chromosome	DS484178.1	=	NW_001845467.1	Primary Assembly	2698	chrX_DS484178v1_random
211000022278645	unlocalized-scaffold	X	Chromosome	DS484182.1	=	NW_001845471.1	Primary Assembly	2689	chrX_DS484182v1_random
211000022280148	unlocalized-scaffold	X	Chromosome	DS484185.1	=	NW_001845474.1	Primary Assembly	2686	chrX_DS484185v1_random
211000022280095	unlocalized-scaffold	X	Chromosome	DS484187.1	=	NW_001845476.1	Primary Assembly	2671	chrX_DS484187v1_random
211000022278630	unlocalized-scaffold	X	Chromosome	DS484198.1	=	NW_001845487.1	Primary Assembly	2641	chrX_DS484198v1_random
211000022278316	unlocalized-scaffold	X	Chromosome	DS484200.1	=	NW_001845489.1	Primary Assembly	2639	chrX_DS484200v1_random
211000022278615	unlocalized-scaffold	X	Chromosome	DS484201.1	=	NW_001845490.1	Primary Assembly	2637	chrX_DS484201v1_random
211000022279917	unlocalized-scaffold	X	Chromosome	DS484203.1	=	NW_001845492.1	Primary Assembly	2635	chrX_DS484203v1_random
211000022278648	unlocalized-scaffold	X	Chromosome	DS484215.1	=	NW_001845504.1	Primary Assembly	2605	chrX_DS484215v1_random
211000022280062	unlocalized-scaffold	X	Chromosome	DS484216.1	=	NW_001845505.1	Primary Assembly	2603	chrX_DS484216v1_random
211000022278299	unlocalized-scaffold	X	Chromosome	DS484219.1	=	NW_001845508.1	Primary Assembly	2591	chrX_DS484219v1_random
211000022278489	unlocalized-scaffold	X	Chromosome	DS484235.1	=	NW_001845524.1	Primary Assembly	2557	chrX_DS484235v1_random
211000022278831	unlocalized-scaffold	X	Chromosome	DS484252.1	=	NW_001845541.1	Primary Assembly	2520	chrX_DS484252v1_random
211000022279062	unlocalized-scaffold	X	Chromosome	DS484260.1	=	NW_001845549.1	Primary Assembly	2505	chrX_DS484260v1_random
211000022278622	unlocalized-scaffold	X	Chromosome	DS484261.1	=	NW_001845550.1	Primary Assembly	2500	chrX_DS484261v1_random
211000022279902	unlocalized-scaffold	X	Chromosome	DS484268.1	=	NW_001845557.1	Primary Assembly	2475	chrX_DS484268v1_random
211000022278172	unlocalized-scaffold	X	Chromosome	DS484272.1	=	NW_001845561.1	Primary Assembly	2464	chrX_DS484272v1_random
211000022279994	unlocalized-scaffold	X	Chromosome	DS484273.1	=	NW_001845562.1	Primary Assembly	2463	chrX_DS484273v1_random
211000022280586	unlocalized-scaffold	X	Chromosome	DS484278.1	=	NW_001845567.1	Primary Assembly	2439	chrX_DS484278v1_random
211000022278225	unlocalized-scaffold	X	Chromosome	DS484284.1	=	NW_001845573.1	Primary Assembly	2432	chrX_DS484284v1_random
211000022278828	unlocalized-scaffold	X	Chromosome	DS484288.1	=	NW_001845577.1	Primary Assembly	2425	chrX_DS484288v1_random
211000022279537	unlocalized-scaffold	X	Chromosome	DS484293.1	=	NW_001845582.1	Primary Assembly	2420	chrX_DS484293v1_random
211000022279967	unlocalized-scaffold	X	Chromosome	DS484297.1	=	NW_001845586.1	Primary Assembly	2413	chrX_DS484297v1_random
211000022278578	unlocalized-scaffold	X	Chromosome	DS484298.1	=	NW_001845587.1	Primary Assembly	2412	chrX_DS484298v1_random
211000022278908	unlocalized-scaffold	X	Chromosome	DS484305.1	=	NW_001845594.1	Primary Assembly	2389	chrX_DS484305v1_random
211000022280453	unlocalized-scaffold	X	Chromosome	DS484316.1	=	NW_001845605.1	Primary Assembly	2379	chrX_DS484316v1_random
211000022279530	unlocalized-scaffold	X	Chromosome	DS484319.1	=	NW_001845608.1	Primary Assembly	2372	chrX_DS484319v1_random
211000022279340	unlocalized-scaffold	X	Chromosome	DS484322.1	=	NW_001845611.1	Primary Assembly	2366	chrX_DS484322v1_random
211000022278844	unlocalized-scaffold	X	Chromosome	DS484323.1	=	NW_001845612.1	Primary Assembly	2363	chrX_DS484323v1_random
211000022280507	unlocalized-scaffold	X	Chromosome	DS484326.1	=	NW_001845615.1	Primary Assembly	2357	chrX_DS484326v1_random
211000022279704	unlocalized-scaffold	X	Chromosome	DS484328.1	=	NW_001845617.1	Primary Assembly	2355	chrX_DS484328v1_random
211000022280534	unlocalized-scaffold	X	Chromosome	DS484330.1	=	NW_001845619.1	Primary Assembly	2353	chrX_DS484330v1_random
211000022278649	unlocalized-scaffold	X	Chromosome	DS484337.1	=	NW_001845626.1	Primary Assembly	2335	chrX_DS484337v1_random
211000022280633	unlocalized-scaffold	X	Chromosome	DS484341.1	=	NW_001845630.1	Primary Assembly	2328	chrX_DS484341v1_random
211000022279092	unlocalized-scaffold	X	Chromosome	DS484344.1	=	NW_001845633.1	Primary Assembly	2322	chrX_DS484344v1_random
211000022279774	unlocalized-scaffold	X	Chromosome	DS484345.1	=	NW_001845634.1	Primary Assembly	2318	chrX_DS484345v1_random
211000022279504	unlocalized-scaffold	X	Chromosome	DS484346.1	=	NW_001845635.1	Primary Assembly	2317	chrX_DS484346v1_random
211000022278810	unlocalized-scaffold	X	Chromosome	DS484349.1	=	NW_001845638.1	Primary Assembly	2307	chrX_DS484349v1_random
211000022278557	unlocalized-scaffold	X	Chromosome	DS484354.1	=	NW_001845643.1	Primary Assembly	2293	chrX_DS484354v1_random
211000022279689	unlocalized-scaffold	X	Chromosome	DS484356.1	=	NW_001845645.1	Primary Assembly	2289	chrX_DS484356v1_random
211000022279085	unlocalized-scaffold	X	Chromosome	DS484357.1	=	NW_001845646.1	Primary Assembly	2287	chrX_DS484357v1_random
211000022278341	unlocalized-scaffold	X	Chromosome	DS484358.1	=	NW_001845647.1	Primary Assembly	2286	chrX_DS484358v1_random
211000022279553	unlocalized-scaffold	X	Chromosome	DS484359.1	=	NW_001845648.1	Primary Assembly	2284	chrX_DS484359v1_random
211000022278823	unlocalized-scaffold	X	Chromosome	DS484360.1	=	NW_001845649.1	Primary Assembly	2283	chrX_DS484360v1_random
211000022279732	unlocalized-scaffold	X	Chromosome	DS484361.1	=	NW_001845650.1	Primary Assembly	2282	chrX_DS484361v1_random
211000022278612	unlocalized-scaffold	X	Chromosome	DS484362.1	=	NW_001845651.1	Primary Assembly	2273	chrX_DS484362v1_random
211000022278639	unlocalized-scaffold	X	Chromosome	DS484364.1	=	NW_001845653.1	Primary Assembly	2269	chrX_DS484364v1_random
211000022278249	unlocalized-scaffold	X	Chromosome	DS484367.1	=	NW_001845656.1	Primary Assembly	2259	chrX_DS484367v1_random
211000022278629	unlocalized-scaffold	X	Chromosome	DS484368.1	=	NW_001845657.1	Primary Assembly	2259	chrX_DS484368v1_random
211000022280330	unlocalized-scaffold	X	Chromosome	DS484371.1	=	NW_001845660.1	Primary Assembly	2247	chrX_DS484371v1_random
211000022279299	unlocalized-scaffold	X	Chromosome	DS484374.1	=	NW_001845663.1	Primary Assembly	2237	chrX_DS484374v1_random
211000022278513	unlocalized-scaffold	X	Chromosome	DS484379.1	=	NW_001845668.1	Primary Assembly	2228	chrX_DS484379v1_random
211000022280088	unlocalized-scaffold	X	Chromosome	DS484382.1	=	NW_001845671.1	Primary Assembly	2223	chrX_DS484382v1_random
211000022279514	unlocalized-scaffold	X	Chromosome	DS484384.1	=	NW_001845673.1	Primary Assembly	2220	chrX_DS484384v1_random
211000022280442	unlocalized-scaffold	X	Chromosome	DS484387.1	=	NW_001845676.1	Primary Assembly	2210	chrX_DS484387v1_random
211000022278461	unlocalized-scaffold	X	Chromosome	DS484388.1	=	NW_001845677.1	Primary Assembly	2209	chrX_DS484388v1_random
211000022278608	unlocalized-scaffold	X	Chromosome	DS484393.1	=	NW_001845682.1	Primary Assembly	2201	chrX_DS484393v1_random
211000022278628	unlocalized-scaffold	X	Chromosome	DS484397.1	=	NW_001845686.1	Primary Assembly	2196	chrX_DS484397v1_random
211000022278359	unlocalized-scaffold	X	Chromosome	DS484399.1	=	NW_001845688.1	Primary Assembly	2192	chrX_DS484399v1_random
211000022278555	unlocalized-scaffold	X	Chromosome	DS484401.1	=	NW_001845690.1	Primary Assembly	2189	chrX_DS484401v1_random
211000022278467	unlocalized-scaffold	X	Chromosome	DS484402.1	=	NW_001845691.1	Primary Assembly	2189	chrX_DS484402v1_random
211000022278775	unlocalized-scaffold	X	Chromosome	DS484406.1	=	NW_001845695.1	Primary Assembly	2177	chrX_DS484406v1_random
211000022278853	unlocalized-scaffold	X	Chromosome	DS484409.1	=	NW_001845698.1	Primary Assembly	2166	chrX_DS484409v1_random
211000022278616	unlocalized-scaffold	X	Chromosome	DS484411.1	=	NW_001845700.1	Primary Assembly	2161	chrX_DS484411v1_random
211000022278825	unlocalized-scaffold	X	Chromosome	DS484415.1	=	NW_001845704.1	Primary Assembly	2147	chrX_DS484415v1_random
211000022279834	unlocalized-scaffold	X	Chromosome	DS484417.1	=	NW_001845706.1	Primary Assembly	2139	chrX_DS484417v1_random
211000022279084	unlocalized-scaffold	X	Chromosome	DS484419.1	=	NW_001845708.1	Primary Assembly	2132	chrX_DS484419v1_random
211000022279307	unlocalized-scaffold	X	Chromosome	DS484423.1	=	NW_001845712.1	Primary Assembly	2126	chrX_DS484423v1_random
211000022278353	unlocalized-scaffold	X	Chromosome	DS484428.1	=	NW_001845717.1	Primary Assembly	2114	chrX_DS484428v1_random
211000022278320	unlocalized-scaffold	X	Chromosome	DS484429.1	=	NW_001845718.1	Primary Assembly	2113	chrX_DS484429v1_random
211000022278343	unlocalized-scaffold	X	Chromosome	DS484430.1	=	NW_001845719.1	Primary Assembly	2113	chrX_DS484430v1_random
211000022278490	unlocalized-scaffold	X	Chromosome	DS484431.1	=	NW_001845720.1	Primary Assembly	2113	chrX_DS484431v1_random
211000022279305	unlocalized-scaffold	X	Chromosome	DS484433.1	=	NW_001845722.1	Primary Assembly	2109	chrX_DS484433v1_random
211000022278840	unlocalized-scaffold	X	Chromosome	DS484442.1	=	NW_001845731.1	Primary Assembly	2096	chrX_DS484442v1_random
211000022279063	unlocalized-scaffold	X	Chromosome	DS484444.1	=	NW_001845733.1	Primary Assembly	2094	chrX_DS484444v1_random
211000022278431	unlocalized-scaffold	X	Chromosome	DS484447.1	=	NW_001845736.1	Primary Assembly	2089	chrX_DS484447v1_random
211000022278464	unlocalized-scaffold	X	Chromosome	DS484450.1	=	NW_001845739.1	Primary Assembly	2087	chrX_DS484450v1_random
211000022278845	unlocalized-scaffold	X	Chromosome	DS484457.1	=	NW_001845746.1	Primary Assembly	2079	chrX_DS484457v1_random
211000022278226	unlocalized-scaffold	X	Chromosome	DS484459.1	=	NW_001845748.1	Primary Assembly	2078	chrX_DS484459v1_random
211000022279601	unlocalized-scaffold	X	Chromosome	DS484462.1	=	NW_001845751.1	Primary Assembly	2068	chrX_DS484462v1_random
211000022279715	unlocalized-scaffold	X	Chromosome	DS484468.1	=	NW_001845757.1	Primary Assembly	2060	chrX_DS484468v1_random
211000022279332	unlocalized-scaffold	X	Chromosome	DS484474.1	=	NW_001845763.1	Primary Assembly	2044	chrX_DS484474v1_random
211000022278695	unlocalized-scaffold	X	Chromosome	DS484477.1	=	NW_001845766.1	Primary Assembly	2035	chrX_DS484477v1_random
211000022278817	unlocalized-scaffold	X	Chromosome	DS484483.1	=	NW_001845772.1	Primary Assembly	2021	chrX_DS484483v1_random
211000022280594	unlocalized-scaffold	X	Chromosome	DS484488.1	=	NW_001845777.1	Primary Assembly	2009	chrX_DS484488v1_random
211000022278482	unlocalized-scaffold	X	Chromosome	DS484497.1	=	NW_001845786.1	Primary Assembly	1998	chrX_DS484497v1_random
211000022278820	unlocalized-scaffold	X	Chromosome	DS484500.1	=	NW_001845789.1	Primary Assembly	1993	chrX_DS484500v1_random
211000022278619	unlocalized-scaffold	X	Chromosome	DS484504.1	=	NW_001845793.1	Primary Assembly	1986	chrX_DS484504v1_random
211000022278976	unlocalized-scaffold	X	Chromosome	DS484506.1	=	NW_001845795.1	Primary Assembly	1980	chrX_DS484506v1_random
211000022278233	unlocalized-scaffold	X	Chromosome	DS484507.1	=	NW_001845796.1	Primary Assembly	1978	chrX_DS484507v1_random
211000022278317	unlocalized-scaffold	X	Chromosome	DS484512.1	=	NW_001845801.1	Primary Assembly	1970	chrX_DS484512v1_random
211000022278321	unlocalized-scaffold	X	Chromosome	DS484518.1	=	NW_001845807.1	Primary Assembly	1964	chrX_DS484518v1_random
211000022278879	unlocalized-scaffold	X	Chromosome	DS484519.1	=	NW_001845808.1	Primary Assembly	1963	chrX_DS484519v1_random
211000022278229	unlocalized-scaffold	X	Chromosome	DS484526.1	=	NW_001845815.1	Primary Assembly	1956	chrX_DS484526v1_random
211000022278319	unlocalized-scaffold	X	Chromosome	DS484529.1	=	NW_001845818.1	Primary Assembly	1947	chrX_DS484529v1_random
211000022278460	unlocalized-scaffold	X	Chromosome	DS484533.1	=	NW_001845822.1	Primary Assembly	1944	chrX_DS484533v1_random
211000022279075	unlocalized-scaffold	X	Chromosome	DS484535.1	=	NW_001845824.1	Primary Assembly	1939	chrX_DS484535v1_random
211000022280612	unlocalized-scaffold	X	Chromosome	DS484538.1	=	NW_001845827.1	Primary Assembly	1936	chrX_DS484538v1_random
211000022278643	unlocalized-scaffold	X	Chromosome	DS484540.1	=	NW_001845829.1	Primary Assembly	1935	chrX_DS484540v1_random
211000022279245	unlocalized-scaffold	X	Chromosome	DS484541.1	=	NW_001845830.1	Primary Assembly	1933	chrX_DS484541v1_random
211000022278627	unlocalized-scaffold	X	Chromosome	DS484545.1	=	NW_001845834.1	Primary Assembly	1928	chrX_DS484545v1_random
211000022278480	unlocalized-scaffold	X	Chromosome	DS484547.1	=	NW_001845836.1	Primary Assembly	1927	chrX_DS484547v1_random
211000022278365	unlocalized-scaffold	X	Chromosome	DS484552.1	=	NW_001845841.1	Primary Assembly	1920	chrX_DS484552v1_random
211000022278812	unlocalized-scaffold	X	Chromosome	DS484555.1	=	NW_001845844.1	Primary Assembly	1916	chrX_DS484555v1_random
211000022280622	unlocalized-scaffold	X	Chromosome	DS484556.1	=	NW_001845845.1	Primary Assembly	1916	chrX_DS484556v1_random
211000022278468	unlocalized-scaffold	X	Chromosome	DS484558.1	=	NW_001845847.1	Primary Assembly	1906	chrX_DS484558v1_random
