# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
Dmel_CG10521	Dmel_CG10521	NM_001169283.2	protein_coding	1	0	0	10	0	0	0	0	0	0	1	1	8	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG10521	Dmel_CG10521	NM_001169284.2	protein_coding	1	0	0	11	0	0	0	0	0	0	2	1	8	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG10521	Dmel_CG10521	NM_001258739.2	protein_coding	1	0	0	10	0	0	0	0	0	0	1	1	8	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG10521	Dmel_CG10521	NM_001258740.2	protein_coding	1	0	0	10	0	0	0	0	0	0	1	1	8	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG10521	Dmel_CG10521	NM_001272617.1	protein_coding	1	0	0	10	0	0	0	0	0	0	1	1	8	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG10521	Dmel_CG10521	NM_078600.4	protein_coding	1	0	0	10	0	0	0	0	0	0	1	1	8	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG10545	Dmel_CG10545	NM_001316638.2	protein_coding	0	0	0	9	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Dmel_CG10545	Dmel_CG10545	NM_080351.7	protein_coding	0	0	0	9	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Dmel_CG10545	Dmel_CG10545	NM_206736.2	protein_coding	0	0	0	11	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Dmel_CG10545	Dmel_CG10545	NM_206737.2	protein_coding	0	0	0	11	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Dmel_CG10545	Dmel_CG10545	NM_206738.3	protein_coding	0	0	0	9	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Dmel_CG10545	Dmel_CG10545	NM_206739.2	protein_coding	0	0	0	11	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Dmel_CG10555	Dmel_CG10555	NM_001298087.1	protein_coding	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Dmel_CG10555	Dmel_CG10555	NM_132246.3	protein_coding	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Dmel_CG10597	Dmel_CG10597	NM_001144744.2	protein_coding	1	0	0	8	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Dmel_CG10598	Dmel_CG10598	NM_132978.4	protein_coding	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Dmel_CG10598	Dmel_CG10598	NM_167562.2	protein_coding	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Dmel_CG10617	Dmel_CG10617	NM_001272584.1	protein_coding	2	0	0	18	2	0	0	0	0	0	1	2	4	1	0	0	0	0	0	0	0	0	0	0	0	11
Dmel_CG10617	Dmel_CG10617	NM_132650.2	protein_coding	2	0	0	18	2	0	0	0	0	0	1	2	4	1	0	0	0	0	0	0	0	0	0	0	0	11
Dmel_CG10648	Dmel_CG10648	NM_001298097.1	protein_coding	1	0	1	3	0	0	1	0	0	0	2	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1
Dmel_CG10648	Dmel_CG10648	NM_132280.5	protein_coding	1	0	1	3	0	0	1	0	0	0	2	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1
Dmel_CG10695	Dmel_CG10695	NM_001272356.2	protein_coding	0	0	0	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
Dmel_CG10695	Dmel_CG10695	NM_001272357.2	protein_coding	0	0	0	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
Dmel_CG10695	Dmel_CG10695	NM_132100.5	protein_coding	0	0	0	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
Dmel_CG10701	Dmel_CG10701	NM_001258654.1	protein_coding	3	0	3	17	1	0	0	1	2	0	11	3	3	0	0	0	0	0	0	0	0	0	0	0	0	2
Dmel_CG10701	Dmel_CG10701	NM_001258655.1	protein_coding	3	0	3	18	0	0	0	1	2	0	12	3	4	0	0	0	0	0	0	0	0	0	0	0	0	2
Dmel_CG10701	Dmel_CG10701	NM_001272432.1	protein_coding	3	0	3	22	1	0	0	1	2	0	11	3	7	0	0	0	0	0	0	0	0	0	0	0	0	3
Dmel_CG10701	Dmel_CG10701	NM_080343.4	protein_coding	3	0	3	19	1	0	0	1	2	0	11	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10701	Dmel_CG10701	NM_167168.4	protein_coding	3	0	3	17	0	0	0	1	2	0	12	3	3	0	0	0	0	0	0	0	0	0	0	0	0	2
Dmel_CG10701	Dmel_CG10701	NM_167169.2	protein_coding	3	0	3	16	0	0	0	1	2	0	12	3	1	0	0	0	0	0	0	0	0	0	0	0	0	3
Dmel_CG10701	Dmel_CG10701	NM_167170.2	protein_coding	3	0	3	16	0	0	0	1	2	0	12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Dmel_CG10701	Dmel_CG10701	NM_206664.3	protein_coding	3	0	3	19	0	0	0	1	2	0	12	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10701	Dmel_CG10701	NM_206665.3	protein_coding	3	0	3	19	0	0	0	1	2	0	12	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10701	Dmel_CG10701	NM_206666.3	protein_coding	3	0	3	22	0	0	0	1	2	0	12	3	7	0	0	0	0	0	0	0	0	0	0	0	0	3
Dmel_CG10701	Dmel_CG10701	NM_206667.3	protein_coding	3	0	3	22	0	0	0	1	2	0	12	3	7	0	0	0	0	0	0	0	0	0	0	0	0	3
Dmel_CG10701	Dmel_CG10701	NM_206668.3	protein_coding	3	0	3	22	1	0	0	1	2	0	11	3	7	0	0	0	0	0	0	0	0	0	0	0	0	3
Dmel_CG10701	Dmel_CG10701	NM_206669.2	protein_coding	3	0	3	19	0	0	0	1	2	0	12	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10706	Dmel_CG10706	NM_001103415.2	protein_coding	2	0	1	42	5	0	0	0	1	0	4	2	31	0	0	0	1	0	1	0	0	0	0	0	1	3
Dmel_CG10706	Dmel_CG10706	NM_001272322.1	protein_coding	2	0	1	56	5	0	0	0	1	0	4	2	46	0	0	0	1	0	1	0	0	0	0	0	1	2
Dmel_CG10706	Dmel_CG10706	NM_001272323.2	protein_coding	2	0	1	56	7	0	0	0	1	0	2	2	46	0	0	0	1	0	1	0	0	0	0	0	1	2
Dmel_CG10706	Dmel_CG10706	NM_001272324.2	protein_coding	2	0	1	56	2	0	0	0	1	0	0	2	53	0	0	0	1	0	1	0	0	0	0	0	1	2
Dmel_CG10706	Dmel_CG10706	NM_001297957.1	protein_coding	6	0	1	32	0	4	0	0	1	0	4	6	23	0	0	0	1	0	1	0	0	0	0	0	1	2
Dmel_CG10706	Dmel_CG10706	NM_001297958.1	protein_coding	7	0	1	51	2	0	0	0	1	0	2	7	46	0	0	0	1	0	1	0	0	0	0	0	1	2
Dmel_CG10706	Dmel_CG10706	NM_001297959.1	protein_coding	6	0	1	32	0	4	0	0	1	0	4	6	23	0	0	0	1	0	1	0	0	0	0	0	1	2
Dmel_CG10706	Dmel_CG10706	NM_001297960.1	protein_coding	7	0	1	51	0	0	0	0	1	0	4	7	46	0	0	0	1	0	1	0	0	0	0	0	1	2
Dmel_CG10706	Dmel_CG10706	NM_080339.3	protein_coding	1	0	1	37	5	4	0	0	1	0	4	1	23	0	0	0	1	0	1	0	0	0	0	0	1	2
Dmel_CG10706	Dmel_CG10706	NM_167029.3	protein_coding	2	0	1	56	5	0	0	0	1	0	4	2	46	0	0	0	1	0	1	0	0	0	0	0	1	2
Dmel_CG10706	Dmel_CG10706	NM_167030.2	protein_coding	1	0	1	37	5	4	0	0	1	0	4	1	23	0	0	0	1	0	1	0	0	0	0	0	1	2
Dmel_CG10706	Dmel_CG10706	NM_167031.3	protein_coding	2	0	1	52	0	0	0	0	1	0	6	2	45	0	0	0	1	0	1	0	0	0	0	0	1	2
Dmel_CG10706	Dmel_CG10706	NM_167032.2	protein_coding	1	0	1	37	5	4	0	0	1	0	4	1	23	0	0	0	1	0	1	0	0	0	0	0	1	2
Dmel_CG10706	Dmel_CG10706	NM_206631.4	protein_coding	2	0	1	56	9	0	0	0	1	0	0	2	46	0	0	0	1	0	1	0	0	0	0	0	1	2
Dmel_CG10742	Dmel_CG10742	NM_001258575.1	protein_coding	0	0	0	14	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
Dmel_CG10742	Dmel_CG10742	NM_080315.3	protein_coding	0	0	0	14	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
Dmel_CG10755	Dmel_CG10755	NM_080305.4	protein_coding	3	0	0	21	1	0	0	0	0	0	12	3	0	1	0	0	0	0	0	0	0	0	0	0	1	8
Dmel_CG10759	Dmel_CG10759	NM_078526.1	protein_coding	2	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	1
Dmel_CG10761	Dmel_CG10761	NM_132228.3	protein_coding	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Dmel_CG10763	Dmel_CG10763	NM_132224.3	protein_coding	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Dmel_CG10777	Dmel_CG10777	NM_001298065.1	protein_coding	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Dmel_CG10777	Dmel_CG10777	NM_132196.3	protein_coding	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Dmel_CG10778	Dmel_CG10778	NM_001272387.1	protein_coding	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Dmel_CG10778	Dmel_CG10778	NM_132197.3	protein_coding	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Dmel_CG10781	Dmel_CG10781	NM_057307.2	protein_coding	0	0	0	7	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Dmel_CG10788	Dmel_CG10788	NM_080321.1	protein_coding	0	0	0	6	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Dmel_CG10789	Dmel_CG10789	NM_057596.4	protein_coding	0	0	0	7	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Dmel_CG10790	Dmel_CG10790	NM_057329.4	protein_coding	0	0	0	5	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG10793	Dmel_CG10793	NM_130698.2	protein_coding	0	0	0	20	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
Dmel_CG10798	Dmel_CG10798	NM_001272275.1	protein_coding	0	0	0	4	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10798	Dmel_CG10798	NM_080323.4	protein_coding	0	0	0	3	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10801	Dmel_CG10801	NM_001272281.1	protein_coding	0	0	1	4	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Dmel_CG10801	Dmel_CG10801	NM_130702.3	protein_coding	0	0	1	4	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Dmel_CG10802	Dmel_CG10802	NM_001272283.1	protein_coding	0	0	0	8	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Dmel_CG10802	Dmel_CG10802	NM_130706.3	protein_coding	0	0	0	8	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Dmel_CG10803	Dmel_CG10803	NM_001272284.2	protein_coding	2	0	0	6	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	4
Dmel_CG10803	Dmel_CG10803	NM_001272285.2	protein_coding	2	0	0	6	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	4
Dmel_CG10803	Dmel_CG10803	NM_001272286.1	protein_coding	2	0	0	10	1	0	0	0	0	0	5	2	0	1	0	0	0	0	0	0	0	0	0	0	0	4
Dmel_CG10803	Dmel_CG10803	NM_001272287.1	protein_coding	2	0	0	10	1	0	0	0	0	0	5	2	0	1	0	0	0	0	0	0	0	0	0	0	0	4
Dmel_CG10803	Dmel_CG10803	NM_130708.4	protein_coding	2	0	0	6	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	4
Dmel_CG10804	Dmel_CG10804	NM_001144678.2	protein_coding	1	0	0	8	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	6
Dmel_CG10804	Dmel_CG10804	NM_001297910.1	protein_coding	1	0	0	8	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	6
Dmel_CG10804	Dmel_CG10804	NM_130705.2	protein_coding	1	0	0	8	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	6
Dmel_CG10804	Dmel_CG10804	NM_166975.2	protein_coding	0	0	1	8	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Dmel_CG10811	Dmel_CG10811	NM_001103382.2	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Dmel_CG10811	Dmel_CG10811	NM_001144385.2	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Dmel_CG10811	Dmel_CG10811	NM_079901.4	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Dmel_CG10918	Dmel_CG10918	NM_134609.2	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10920	Dmel_CG10920	NM_132180.2	protein_coding	0	0	1	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG10932	Dmel_CG10932	NM_001298058.1	protein_coding	0	0	0	11	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10932	Dmel_CG10932	NM_132186.2	protein_coding	0	0	0	11	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10944	Dmel_CG10944	NM_078518.3	protein_coding	0	0	0	10	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
Dmel_CG10944	Dmel_CG10944	NM_167136.2	protein_coding	0	0	0	10	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
Dmel_CG10946	Dmel_CG10946	NM_001258644.2	protein_coding	2	0	0	9	1	0	0	0	0	0	5	2	1	2	0	0	0	0	0	0	0	0	0	0	0	2
Dmel_CG10946	Dmel_CG10946	NM_132191.3	protein_coding	2	0	0	9	0	0	0	0	0	0	6	2	0	2	0	0	0	0	0	0	0	0	0	0	0	3
Dmel_CG10952	Dmel_CG10952	NM_001042810.3	protein_coding	0	0	2	23	1	0	0	0	1	1	2	0	20	1	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10952	Dmel_CG10952	NM_001201662.2	protein_coding	0	0	0	20	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10952	Dmel_CG10952	NM_001201663.2	protein_coding	0	0	2	23	1	0	0	0	1	1	2	0	20	1	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10952	Dmel_CG10952	NM_001272627.1	protein_coding	0	0	0	20	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10952	Dmel_CG10952	NM_001272628.1	protein_coding	0	0	0	20	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10952	Dmel_CG10952	NM_001272629.1	protein_coding	0	0	2	23	1	0	0	0	1	1	2	0	20	1	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10952	Dmel_CG10952	NM_078603.4	protein_coding	0	0	2	23	1	0	0	0	1	1	2	0	20	1	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10959	Dmel_CG10959	NM_001272395.1	protein_coding	0	0	0	5	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Dmel_CG10959	Dmel_CG10959	NM_132223.4	protein_coding	0	0	0	5	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Dmel_CG10961	Dmel_CG10961	NM_078525.4	protein_coding	0	0	1	4	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG10962	Dmel_CG10962	NM_176714.3	protein_coding	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG10964	Dmel_CG10964	NM_001298083.1	protein_coding	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Dmel_CG10964	Dmel_CG10964	NM_132238.3	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Dmel_CG10965	Dmel_CG10965	NM_001258649.2	protein_coding	0	0	1	11	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
Dmel_CG10965	Dmel_CG10965	NM_132240.3	protein_coding	0	0	1	11	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
Dmel_CG10970	Dmel_CG10970	NM_001298103.1	protein_coding	2	0	0	5	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Dmel_CG10970	Dmel_CG10970	NM_132289.2	protein_coding	2	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Dmel_CG10986	Dmel_CG10986	NM_001272599.1	protein_coding	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2
Dmel_CG10986	Dmel_CG10986	NM_001272600.1	protein_coding	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2
Dmel_CG10986	Dmel_CG10986	NM_080046.3	protein_coding	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2
Dmel_CG10988	Dmel_CG10988	NM_080180.4	protein_coding	0	1	1	4	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	3
Dmel_CG10990	Dmel_CG10990	NM_001103507.3	protein_coding	0	0	0	5	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG10990	Dmel_CG10990	NM_001272603.1	protein_coding	0	0	0	5	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG10990	Dmel_CG10990	NM_001272604.1	protein_coding	0	0	0	5	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG10990	Dmel_CG10990	NM_132690.4	protein_coding	0	0	0	5	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG10992	Dmel_CG10992	NM_001272607.2	protein_coding	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG10992	Dmel_CG10992	NM_132692.3	protein_coding	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG10993	Dmel_CG10993	NM_132695.2	protein_coding	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Dmel_CG10996	Dmel_CG10996	NM_132696.2	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10997	Dmel_CG10997	NM_001272608.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG10997	Dmel_CG10997	NM_132700.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG11063	Dmel_CG11063	NM_001201657.2	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG11063	Dmel_CG11063	NM_001201658.2	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG11063	Dmel_CG11063	NM_001298303.1	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG11063	Dmel_CG11063	NM_132702.5	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG11068	Dmel_CG11068	NM_132708.4	protein_coding	1	0	0	15	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	13
Dmel_CG11076	Dmel_CG11076	NM_001258500.1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG11076	Dmel_CG11076	NM_143686.4	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG11076	Dmel_CG11076	NM_166807.3	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG11077	Dmel_CG11077	NM_143687.4	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG11081	Dmel_CG11081	NM_001258499.2	protein_coding	1	0	0	3	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG11081	Dmel_CG11081	NM_079898.3	protein_coding	1	0	0	3	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG11081	Dmel_CG11081	NM_166804.4	protein_coding	1	0	0	3	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG11081	Dmel_CG11081	NM_166805.4	protein_coding	1	0	0	3	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG11085	Dmel_CG11085	NM_132587.4	protein_coding	0	0	0	15	1	1	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	3
Dmel_CG11092	Dmel_CG11092	NM_132701.4	protein_coding	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
