# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_truncation	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_truncation	variants_effect_5_prime_UTR_variant	variants_effect_bidirectional_gene_fusion	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_duplication	variants_effect_exon_loss_variant	variants_effect_frameshift_variant	variants_effect_gene_fusion	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_transcript_ablation	variants_effect_upstream_gene_variant
Dmel_CG10016	Dmel_CG10016	CG10016-RC	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10019	Dmel_CG10019	CG10019-RD	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10019	Dmel_CG10019	CG10019-RE	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10021	Dmel_CG10021	CG10021-RA	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10021	Dmel_CG10021	CG10021-RB	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10021	Dmel_CG10021	CG10021-RC	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10021	Dmel_CG10021	CG10021-RD	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10021	Dmel_CG10021	CG10021-RF	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10021	Dmel_CG10021	CG10021-RG	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10021	Dmel_CG10021	CG10021-RH	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10023	Dmel_CG10023	CG10023-RA	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10023	Dmel_CG10023	CG10023-RB	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10023	Dmel_CG10023	CG10023-RC	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10023	Dmel_CG10023	CG10023-RD	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10023	Dmel_CG10023	CG10023-RF	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10023	Dmel_CG10023	CG10023-RG	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10026	Dmel_CG10026	CG10026-RA	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10026	Dmel_CG10026	CG10026-RB	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10026	Dmel_CG10026	CG10026-RC	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10026	Dmel_CG10026	CG10026-RD	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10031	Dmel_CG10031	CG10031-RA	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10033	Dmel_CG10033	CG10033-RA	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10033	Dmel_CG10033	CG10033-RC	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG10033	Dmel_CG10033	CG10033-RD	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG10033	Dmel_CG10033	CG10033-RE	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG10033	Dmel_CG10033	CG10033-RG	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG10033	Dmel_CG10033	CG10033-RH	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10033	Dmel_CG10033	CG10033-RI	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10033	Dmel_CG10033	CG10033-RJ	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG10033	Dmel_CG10033	CG10033-RK	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG10033	Dmel_CG10033	CG10033-RL	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10033	Dmel_CG10033	CG10033-RM	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10033	Dmel_CG10033	CG10033-RN	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10033	Dmel_CG10033	CG10033-RO	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG10034	Dmel_CG10034	CG10034-RB	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10034	Dmel_CG10034	CG10034-RC	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10035	Dmel_CG10035	CG10035-RA	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10035	Dmel_CG10035	CG10035-RB	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10036	Dmel_CG10036	CG10036-RE	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG10036	Dmel_CG10036	CG10036-RI	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG10036	Dmel_CG10036	CG10036-RJ	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG10036	Dmel_CG10036	CG10036-RK	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG10036	Dmel_CG10036	CG10036-RL	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG10037	Dmel_CG10037	CG10037-RA	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10037	Dmel_CG10037	CG10037-RC	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10037	Dmel_CG10037	CG10037-RD	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10037	Dmel_CG10037	CG10037-RE	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10037	Dmel_CG10037	CG10037-RF	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10038	Dmel_CG10038	CG10038-RA	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10038	Dmel_CG10038	CG10038-RB	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10041	Dmel_CG10041	CG10041-RB	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10042	Dmel_CG10042	CG10042-RB	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10043	Dmel_CG10043	CG10043-RA	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10043	Dmel_CG10043	CG10043-RB	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10043	Dmel_CG10043	CG10043-RD	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10043	Dmel_CG10043	CG10043-RE	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10043	Dmel_CG10043	CG10043-RF	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10043	Dmel_CG10043	CG10043-RG	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10043	Dmel_CG10043	CG10043-RH	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10043	Dmel_CG10043	CG10043-RI	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10045	Dmel_CG10045	CG10045-RA	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10045	Dmel_CG10045	CG10045-RB	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10047	Dmel_CG10047	CG10047-RA	protein_coding	0	0	0	3	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10051	Dmel_CG10051	CG10051-RA	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10060	Dmel_CG10060	CG10060-RA	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10062	Dmel_CG10062	CG10062-RA	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10062	Dmel_CG10062	CG10062-RC	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10062	Dmel_CG10062	CG10062-RD	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG10063	Dmel_CG10063	CG10063-RA	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10064	Dmel_CG10064	CG10064-RA	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10068	Dmel_CG10068	CG10068-RA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG10072	Dmel_CG10072	CG10072-RA	protein_coding	2	0	3	1	0	0	0	0	0	0	0	0	0	1	4	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Dmel_CG10073	Dmel_CG10073	CG10073-RA	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10073	Dmel_CG10073	CG10073-RC	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG10075	Dmel_CG10075	CG10075-RA	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG10076	Dmel_CG10076	CG10076-RA	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10076	Dmel_CG10076	CG10076-RB	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10076	Dmel_CG10076	CG10076-RC	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10076	Dmel_CG10076	CG10076-RD	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10076	Dmel_CG10076	CG10076-RE	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10076	Dmel_CG10076	CG10076-RF	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10076	Dmel_CG10076	CG10076-RG	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10076	Dmel_CG10076	CG10076-RH	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10076	Dmel_CG10076	CG10076-RI	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10076	Dmel_CG10076	CG10076-RJ	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10077	Dmel_CG10077	CG10077-RA	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG10077	Dmel_CG10077	CG10077-RC	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG10077	Dmel_CG10077	CG10077-RD	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG10078	Dmel_CG10078	CG10078-RA	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10078	Dmel_CG10078	CG10078-RB	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10079	Dmel_CG10079	CG10079-RA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10081	Dmel_CG10081	CG10081-RA	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10081	Dmel_CG10081	CG10081-RB	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10083	Dmel_CG10083	CG10083-RA	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10084	Dmel_CG10084	CG10084-RA	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10084	Dmel_CG10084	CG10084-RB	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10084	Dmel_CG10084	CG10084-RC	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10084	Dmel_CG10084	CG10084-RD	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10086	Dmel_CG10086	CG10086-RA	protein_coding	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Dmel_CG10089	Dmel_CG10089	CG10089-RA	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10089	Dmel_CG10089	CG10089-RB	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10089	Dmel_CG10089	CG10089-RC	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10089	Dmel_CG10089	CG10089-RD	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10089	Dmel_CG10089	CG10089-RE	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10089	Dmel_CG10089	CG10089-RF	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG1009	Dmel_CG1009	CG1009-RA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG1009	Dmel_CG1009	CG1009-RB	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG1009	Dmel_CG1009	CG1009-RC	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG1009	Dmel_CG1009	CG1009-RD	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG1009	Dmel_CG1009	CG1009-RE	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG1009	Dmel_CG1009	CG1009-RF	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG1009	Dmel_CG1009	CG1009-RH	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG1009	Dmel_CG1009	CG1009-RI	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
